cluster,m_frontWing,m_rearWing,m_onThrottle,m_offThrottle,m_frontCamber,m_rearCamber,m_frontToe,m_rearToe,m_frontSuspension,m_rearSuspension,m_frontAntiRollBar,m_rearAntiRollBar,m_frontSuspensionHeight,m_rearSuspensionHeight,m_brakePressure,m_brakeBias,m_engineBraking,m_rearLeftTyrePressure,m_rearRightTyrePressure,m_frontLeftTyrePressure,m_frontRightTyrePressure,lapTime
9,50.0,50.0,50.0,50.0,-3.5,-2.200000047683716,0.0,0.1000000014901161,39.0,9.0,16.0,12.0,25.0,58.0,100.0,53.0,50.0,24.5,24.5,23.0,23.0,70902.4
5,45.84848484848485,34.03030303030303,22.575757575757574,20.0,-3.5,-2.200000047683716,0.0,0.0,37.21212121212121,9.545454545454545,4.96969696969697,3.212121212121212,22.272727272727273,55.75757575757576,100.0,50.75757575757576,15.151515151515152,20.92424213525021,20.92424213525021,23.92424213525021,23.92424213525021,72447.0
0,39.0,45.0,100.0,20.0,-3.5,-2.200000047683716,0.0,0.0,41.0,21.0,5.0,17.0,21.0,54.0,100.0,50.0,100.0,26.5,26.5,29.5,29.5,73187.7
1,27.714285714285715,21.857142857142858,62.142857142857146,52.857142857142854,-2.7857143538338796,-1.5428571530750819,0.0557142852672508,0.2000000029802322,6.285714285714286,3.5714285714285716,7.857142857142857,4.571428571428571,34.0,66.0,100.0,52.857142857142854,55.714285714285715,20.871428898402623,20.871428898402623,23.114286150251115,23.114286150251115,74726.0
2,43.528301886792455,41.301886792452834,34.43396226415094,46.320754716981135,-3.267924592180072,-1.9641509685876235,0.0973584926072156,0.14169811218414663,26.452830188679247,18.962264150943398,11.81132075471698,9.81132075471698,28.037735849056602,68.66037735849056,97.45283018867924,54.41509433962264,33.39622641509434,20.867924420338756,20.867924420338756,23.383018925504864,23.383018925504864,76390.32075471699
4,46.17391304347826,39.98913043478261,75.97826086956522,39.56521739130435,-3.5,-2.200000047683716,0.008695652303488358,0.063043479686198,39.78260869565217,3.608695652173913,18.72826086956522,15.945652173913043,23.554347826086957,55.71739130434783,100.0,53.03260869565217,86.19565217391305,26.5,26.5,29.108695652173914,29.065217391304348,79069.43478260869
3,40.09756097560975,36.02439024390244,49.329268292682926,55.73170731707317,-3.467073175965286,-2.200000047683716,0.24268292726539983,0.25,38.073170731707314,3.597560975609756,13.951219512195122,12.670731707317072,22.134146341463413,54.451219512195124,96.95121951219512,54.390243902439025,100.0,25.48780487804878,25.48780487804878,28.524390243902438,28.524390243902438,81206.40243902439
7,50.0,47.9,100.0,27.0,-3.5,-2.200000047683716,0.0,0.0,40.1,1.6,16.5,15.1,20.6,59.7,99.1,52.6,100.0,21.95999946594238,21.95999946594238,24.38000030517578,24.38000030517578,84122.8
8,38.0,25.0,55.0,60.0,-3.5,-2.200000047683716,0.25,0.25,41.0,10.0,10.0,8.0,20.0,55.0,100.0,55.0,100.0,20.5,20.5,22.5,22.5,89383.625
6,26.0,24.0,25.0,70.0,-3.5,-1.5,0.05000000074505799,0.41999998688697804,37.0,12.0,21.0,11.0,20.0,80.0,100.0,58.0,50.0,21.100000381469727,21.100000381469727,24.899999618530277,24.899999618530277,90638.3
